CODE,TYPE,HEADING,LABELS,STOCKS,COST,DETAILS
 B4094300,rings,"Love ring, 6 diamonds","pink gold, white gold, diamonds",25,7000 INR,"Love ring, 18K rose gold, 18K white gold, set with 6 brilliant-cut diamonds totaling 0.07 carats. White gold width 2.6mm. Rose gold width 3.5mm."
 B4094300,rings,"Love ring, 6 diamonds","pink gold, white gold, diamonds",25,7000 INR,"Love ring, 18K rose gold, 18K white gold, set with 6 brilliant-cut diamonds totaling 0.07 carats. White gold width 2.6mm. Rose gold width 3.5mm."
 B4099500,rings,PanthÃ¨re de Cartier ring,"white gold, tsavorite garnets, onyx",25,6450.00 INR,"PanthÃ¨re de Cartier ring, 18K white gold, tsavorite garnets, onyx."
 B4221400,rings,PanthÃ¨re de Cartier ring,"pink gold, tsavorite garnets, onyx, black lacquer, diamonds",25,7550.00 INR,"PanthÃ¨re de Cartier ring, 18K pink gold, set with 5 brilliant-cut diamonds totaling 0.02 carats. Tsavorite garnets, onyx, black lacquer."
 N4765800,rings,PanthÃ¨re de Cartier ring,"yellow gold, emeralds, onyx, diamonds",25,9850.00 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold, onyx, set with 2 emeralds and 72 brilliant-cut diamonds totaling 0.68 carat."
 B4099500,rings,PanthÃ¨re de Cartier ring,"white gold, tsavorite garnets, onyx",25,6450.00 INR,"PanthÃ¨re de Cartier ring, 18K white gold, tsavorite garnets, onyx."
 B4221400,rings,PanthÃ¨re de Cartier ring,"pink gold, tsavorite garnets, onyx, black lacquer, diamonds",25,7550.00 INR,"PanthÃ¨re de Cartier ring, 18K pink gold, set with 5 brilliant-cut diamonds totaling 0.02 carats. Tsavorite garnets, onyx, black lacquer."
 N4765800,rings,PanthÃ¨re de Cartier ring,"yellow gold, emeralds, onyx, diamonds",25,9850.00 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold, onyx, set with 2 emeralds and 72 brilliant-cut diamonds totaling 0.68 carat."
 N4225000,rings,PanthÃ¨re de Cartier ring,"yellow gold, diamonds, emeralds, onyx",25,20700.00 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold, set with 137 brilliant-cut diamonds totaling 1.15 carats. Emeralds, onyx."
 N4225000,rings,PanthÃ¨re de Cartier ring,"yellow gold, diamonds, emeralds, onyx",25,20700.00 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold, set with 137 brilliant-cut diamonds totaling 1.15 carats. Emeralds, onyx."
 N6712017,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, tsavorite garnets, onyx",10,29600.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, onyx, black lacquer, set with 2 tsavorite garnets."
 N6715417,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, emeralds, onyx, diamonds",10,51000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, onyx, set with 2 emeralds and 225 brilliant-cut diamonds totaling 2.51 carats."
 N6712017,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, tsavorite garnets, onyx",10,29600.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, onyx, black lacquer, set with 2 tsavorite garnets."
 N6715417,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, emeralds, onyx, diamonds",10,51000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, onyx, set with 2 emeralds and 225 brilliant-cut diamonds totaling 2.51 carats."
 N6712017,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, tsavorite garnets, onyx",10,29600.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, onyx, black lacquer, set with 2 tsavorite garnets."
 H6013017,bracelets,PanthÃ¨re de Cartier bracelet,"pink gold, emeralds, obsidians, diamonds",10,234000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K pink gold, set with emeralds, obsidians and 739 brilliant-cut diamonds totaling 11.56 carats."
 H6013017,bracelets,PanthÃ¨re de Cartier bracelet,"pink gold, emeralds, obsidians, diamonds",10,234000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K pink gold, set with emeralds, obsidians and 739 brilliant-cut diamonds totaling 11.56 carats."
